Metric,Noise Type,Seed,Value,Brightness,Gaussian Level
mAP@0.50,Poisson-Gaussian,3,0.4942969396,0.4,2.5
mAP@0.50,Poisson-Gaussian,4,0.4935621268,0.4,2.5
mAP@0.50,Poisson-Gaussian,0,0.4736948303,0.4,5.0
mAP@0.50,Poisson-Gaussian,1,0.4719850948,0.4,5.0
mAP@0.50,Poisson-Gaussian,2,0.4728568864,0.4,5.0
mAP@0.50,Poisson-Gaussian,3,0.471570533,0.4,5.0
mAP@0.50,Poisson-Gaussian,4,0.4742040832,0.4,5.0
mAP@0.50,Poisson-Gaussian,0,0.4031813013,0.4,10.0
mAP@0.50,Poisson-Gaussian,1,0.4037457122,0.4,10.0
mAP@0.50,Poisson-Gaussian,2,0.4066498005,0.4,10.0
mAP@0.50,Poisson-Gaussian,3,0.4051633115,0.4,10.0
mAP@0.50,Poisson-Gaussian,4,0.4059268598,0.4,10.0
mAP@0.50,Poisson-Gaussian,0,0.3159192836,0.4,15.0
mAP@0.50,Poisson-Gaussian,1,0.3163380619,0.4,15.0
mAP@0.50,Poisson-Gaussian,2,0.3164666847,0.4,15.0
mAP@0.50,Poisson-Gaussian,3,0.3165804558,0.4,15.0
mAP@0.50,Poisson-Gaussian,4,0.3167234938,0.4,15.0
mAP@0.50,Poisson-Gaussian,0,0.1869627537,0.4,22.5
mAP@0.50,Poisson-Gaussian,1,0.1879068078,0.4,22.5
mAP@0.50,Poisson-Gaussian,2,0.1878218834,0.4,22.5
mAP@0.50,Poisson-Gaussian,3,0.1883934724,0.4,22.5
mAP@0.50,Poisson-Gaussian,4,0.1888707459,0.4,22.5
mAP@0.50,Poisson-Gaussian,0,0.4282176354,0.2,2.5
mAP@0.50,Poisson-Gaussian,1,0.4292313069,0.2,2.5
mAP@0.50,Poisson-Gaussian,2,0.427815581,0.2,2.5
mAP@0.50,Poisson-Gaussian,3,0.4271813883,0.2,2.5
mAP@0.50,Poisson-Gaussian,4,0.4265645148,0.2,2.5
mAP@0.50,Poisson-Gaussian,0,0.3735349553,0.2,5.0
mAP@0.50,Poisson-Gaussian,1,0.3742969044,0.2,5.0
mAP@0.50,Poisson-Gaussian,2,0.3723086126,0.2,5.0
mAP@0.50,Poisson-Gaussian,3,0.3748061693,0.2,5.0
mAP@0.50,Poisson-Gaussian,4,0.3749573766,0.2,5.0
mAP@0.50,Poisson-Gaussian,0,0.2239754336,0.2,10.0
mAP@0.50,Poisson-Gaussian,1,0.2248695187,0.2,10.0
mAP@0.50,Poisson-Gaussian,2,0.2266961994,0.2,10.0
mAP@0.50,Poisson-Gaussian,3,0.2256710329,0.2,10.0
mAP@0.50,Poisson-Gaussian,4,0.2255413902,0.2,10.0
mAP@0.50,Poisson-Gaussian,0,0.1071116472,0.2,15.0
mAP@0.50,Poisson-Gaussian,1,0.1075175763,0.2,15.0
mAP@0.50,Poisson-Gaussian,2,0.107643162,0.2,15.0
mAP@0.50,Poisson-Gaussian,3,0.1072865228,0.2,15.0
mAP@0.50,Poisson-Gaussian,4,0.1050799504,0.2,15.0
mAP@0.50,Poisson-Gaussian,0,0.0338773904,0.2,22.5
mAP@0.50,Poisson-Gaussian,1,0.0328801084,0.2,22.5
mAP@0.50,Poisson-Gaussian,2,0.0336959986,0.2,22.5
mAP@0.50,Poisson-Gaussian,3,0.0332928692,0.2,22.5
mAP@0.50,Poisson-Gaussian,4,0.0340757108,0.2,22.5
mAP@0.50,Poisson-Gaussian,0,0.2743934563,0.1,2.5
mAP@0.50,Poisson-Gaussian,1,0.2752500844,0.1,2.5
mAP@0.50,Poisson-Gaussian,2,0.2781653642,0.1,2.5
mAP@0.50,Poisson-Gaussian,3,0.2778176842,0.1,2.5
mAP@0.50,Poisson-Gaussian,4,0.2753895193,0.1,2.5
mAP@0.50,Poisson-Gaussian,0,0.1744265067,0.1,5.0
mAP@0.50,Poisson-Gaussian,1,0.1747429085,0.1,5.0
mAP@0.50,Poisson-Gaussian,2,0.1730737805,0.1,5.0
mAP@0.50,Poisson-Gaussian,3,0.1726502793,0.1,5.0
mAP@0.50,Poisson-Gaussian,4,0.1751489444,0.1,5.0
mAP@0.50,Poisson-Gaussian,0,0.0467470821,0.1,10.0
mAP@0.50,Poisson-Gaussian,1,0.0451241107,0.1,10.0
mAP@0.50,Poisson-Gaussian,2,0.0468050373,0.1,10.0
mAP@0.50,Poisson-Gaussian,3,0.044647736,0.1,10.0
mAP@0.50,Poisson-Gaussian,4,0.0463829482,0.1,10.0
mAP@0.50,Poisson-Gaussian,0,0.018355931,0.1,15.0
mAP@0.50,Poisson-Gaussian,1,0.0187930954,0.1,15.0
mAP@0.50,Poisson-Gaussian,2,0.0181661459,0.1,15.0
mAP@0.50,Poisson-Gaussian,3,0.0199518982,0.1,15.0
mAP@0.50,Poisson-Gaussian,4,0.0190060759,0.1,15.0
mAP@0.50,Poisson-Gaussian,0,0.0075701998,0.1,22.5
mAP@0.50,Poisson-Gaussian,1,0.0066946096,0.1,22.5
mAP@0.50,Poisson-Gaussian,2,0.0080109189,0.1,22.5
mAP@0.50,Poisson-Gaussian,3,0.0062779624,0.1,22.5
mAP@0.50,Poisson-Gaussian,4,0.0055328096,0.1,22.5
mAP@0.75,Poisson-Gaussian,0,0.3902188402,0.8,2.5
mAP@0.75,Poisson-Gaussian,1,0.3873902893,0.8,2.5
mAP@0.75,Poisson-Gaussian,2,0.387540612,0.8,2.5
mAP@0.75,Poisson-Gaussian,3,0.3889649164,0.8,2.5
mAP@0.75,Poisson-Gaussian,4,0.3862083665,0.8,2.5
mAP@0.75,Poisson-Gaussian,0,0.3804905249,0.8,5.0
mAP@0.75,Poisson-Gaussian,1,0.3846176069,0.8,5.0
mAP@0.75,Poisson-Gaussian,2,0.382197136,0.8,5.0
mAP@0.75,Poisson-Gaussian,3,0.3808338788,0.8,5.0
mAP@0.75,Poisson-Gaussian,4,0.3806151924,0.8,5.0
mAP@0.75,Poisson-Gaussian,0,0.3564438351,0.8,10.0
mAP@0.75,Poisson-Gaussian,1,0.3570353098,0.8,10.0
mAP@0.75,Poisson-Gaussian,2,0.3572174047,0.8,10.0
mAP@0.75,Poisson-Gaussian,3,0.3589509249,0.8,10.0
mAP@0.75,Poisson-Gaussian,4,0.3575226936,0.8,10.0
mAP@0.75,Poisson-Gaussian,0,0.3290528516,0.8,15.0
mAP@0.75,Poisson-Gaussian,1,0.3275904242,0.8,15.0
mAP@0.75,Poisson-Gaussian,2,0.3252772348,0.8,15.0
mAP@0.75,Poisson-Gaussian,3,0.3239678284,0.8,15.0
mAP@0.75,Poisson-Gaussian,4,0.3268855053,0.8,15.0
mAP@0.75,Poisson-Gaussian,0,0.2684421557,0.8,22.5
mAP@0.75,Poisson-Gaussian,1,0.2675935298,0.8,22.5
mAP@0.75,Poisson-Gaussian,2,0.2709635423,0.8,22.5
mAP@0.75,Poisson-Gaussian,3,0.2687917862,0.8,22.5
mAP@0.75,Poisson-Gaussian,4,0.269031535,0.8,22.5
mAP@0.75,Poisson-Gaussian,0,0.3749791258,0.6,2.5
mAP@0.75,Poisson-Gaussian,1,0.3808643526,0.6,2.5
mAP@0.75,Poisson-Gaussian,2,0.3789514761,0.6,2.5
mAP@0.75,Poisson-Gaussian,3,0.3786796643,0.6,2.5
mAP@0.75,Poisson-Gaussian,4,0.3801424775,0.6,2.5
mAP@0.75,Poisson-Gaussian,0,0.3669657997,0.6,5.0
mAP@0.75,Poisson-Gaussian,1,0.3692307916,0.6,5.0
mAP@0.75,Poisson-Gaussian,2,0.365994391,0.6,5.0
mAP@0.75,Poisson-Gaussian,3,0.3703455207,0.6,5.0
mAP@0.75,Poisson-Gaussian,4,0.3687339961,0.6,5.0
mAP@0.75,Poisson-Gaussian,0,0.3334211181,0.6,10.0
mAP@0.75,Poisson-Gaussian,1,0.3335216837,0.6,10.0
mAP@0.75,Poisson-Gaussian,2,0.3350500932,0.6,10.0
mAP@0.75,Poisson-Gaussian,3,0.3333417596,0.6,10.0
mAP@0.75,Poisson-Gaussian,4,0.333835455,0.6,10.0
mAP@0.75,Poisson-Gaussian,0,0.2875694852,0.6,15.0
mAP@0.75,Poisson-Gaussian,1,0.2896378429,0.6,15.0
mAP@0.75,Poisson-Gaussian,2,0.2900745511,0.6,15.0
mAP@0.75,Poisson-Gaussian,3,0.2882019789,0.6,15.0
mAP@0.75,Poisson-Gaussian,4,0.2890393618,0.6,15.0
mAP@0.75,Poisson-Gaussian,0,0.2132966925,0.6,22.5
mAP@0.75,Poisson-Gaussian,1,0.2144959898,0.6,22.5
mAP@0.75,Poisson-Gaussian,2,0.2145581037,0.6,22.5
mAP@0.75,Poisson-Gaussian,3,0.2128846667,0.6,22.5
mAP@0.75,Poisson-Gaussian,4,0.2124374622,0.6,22.5
mAP@0.75,Poisson-Gaussian,0,0.3609067133,0.4,2.5
mAP@0.75,Poisson-Gaussian,1,0.3627236952,0.4,2.5
mAP@0.75,Poisson-Gaussian,2,0.3580097649,0.4,2.5
mAP@0.75,Poisson-Gaussian,3,0.362028049,0.4,2.5
mAP@0.75,Poisson-Gaussian,4,0.3634788266,0.4,2.5
mAP@0.75,Poisson-Gaussian,0,0.3408685854,0.4,5.0
mAP@0.75,Poisson-Gaussian,1,0.3414918771,0.4,5.0
mAP@0.75,Poisson-Gaussian,2,0.3414454792,0.4,5.0
mAP@0.75,Poisson-Gaussian,3,0.3445460977,0.4,5.0
mAP@0.75,Poisson-Gaussian,4,0.345498746,0.4,5.0
mAP@0.75,Poisson-Gaussian,0,0.2813405392,0.4,10.0
mAP@0.75,Poisson-Gaussian,1,0.2805466786,0.4,10.0
mAP@0.75,Poisson-Gaussian,2,0.2836517216,0.4,10.0
mAP@0.75,Poisson-Gaussian,3,0.2830191378,0.4,10.0
mAP@0.75,Poisson-Gaussian,4,0.2857743677,0.4,10.0
mAP@0.75,Poisson-Gaussian,0,0.2132489755,0.4,15.0
mAP@0.75,Poisson-Gaussian,1,0.2149206102,0.4,15.0
mAP@0.75,Poisson-Gaussian,2,0.2156552218,0.4,15.0
mAP@0.75,Poisson-Gaussian,3,0.2144257752,0.4,15.0
mAP@0.75,Poisson-Gaussian,4,0.2127465468,0.4,15.0
mAP@0.75,Poisson-Gaussian,0,0.1208371634,0.4,22.5
mAP@0.75,Poisson-Gaussian,1,0.1194229689,0.4,22.5
mAP@0.75,Poisson-Gaussian,2,0.1204436987,0.4,22.5
mAP@0.75,Poisson-Gaussian,3,0.1217572469,0.4,22.5
mAP@0.75,Poisson-Gaussian,4,0.1207630295,0.4,22.5
mAP@0.75,Poisson-Gaussian,0,0.3035235151,0.2,2.5
mAP@0.75,Poisson-Gaussian,1,0.3028151841,0.2,2.5
mAP@0.75,Poisson-Gaussian,2,0.3040657242,0.2,2.5
mAP@0.75,Poisson-Gaussian,3,0.3024549994,0.2,2.5
mAP@0.75,Poisson-Gaussian,4,0.3038324298,0.2,2.5
mAP@0.75,Poisson-Gaussian,0,0.2580825606,0.2,5.0
mAP@0.75,Poisson-Gaussian,1,0.2573867471,0.2,5.0
mAP@0.75,Poisson-Gaussian,2,0.2580357198,0.2,5.0
mAP@0.75,Poisson-Gaussian,3,0.2598453,0.2,5.0
mAP@0.75,Poisson-Gaussian,4,0.2591297199,0.2,5.0
mAP@0.75,Poisson-Gaussian,0,0.146952255,0.2,10.0
mAP@0.75,Poisson-Gaussian,1,0.1491602776,0.2,10.0
mAP@0.75,Poisson-Gaussian,2,0.1506918586,0.2,10.0
mAP@0.75,Poisson-Gaussian,3,0.1484689722,0.2,10.0
mAP@0.75,Poisson-Gaussian,4,0.1497444228,0.2,10.0
mAP@0.75,Poisson-Gaussian,0,0.0662726704,0.2,15.0
mAP@0.75,Poisson-Gaussian,1,0.0667095891,0.2,15.0
mAP@0.75,Poisson-Gaussian,2,0.0662480698,0.2,15.0
mAP@0.75,Poisson-Gaussian,3,0.0651939481,0.2,15.0
mAP@0.75,Poisson-Gaussian,4,0.0643085047,0.2,15.0
mAP@0.75,Poisson-Gaussian,0,0.0210294077,0.2,22.5
mAP@0.75,Poisson-Gaussian,1,0.0217681322,0.2,22.5
mAP@0.75,Poisson-Gaussian,2,0.0215419547,0.2,22.5
mAP@0.75,Poisson-Gaussian,3,0.0208626767,0.2,22.5
mAP@0.75,Poisson-Gaussian,4,0.0210885614,0.2,22.5
mAP@0.75,Poisson-Gaussian,0,0.1858636813,0.1,2.5
mAP@0.75,Poisson-Gaussian,1,0.1884075175,0.1,2.5
mAP@0.75,Poisson-Gaussian,2,0.187798286,0.1,2.5
mAP@0.75,Poisson-Gaussian,3,0.1881393292,0.1,2.5
mAP@0.75,Poisson-Gaussian,4,0.1856071609,0.1,2.5
mAP@0.75,Poisson-Gaussian,0,0.1138823992,0.1,5.0
mAP@0.75,Poisson-Gaussian,1,0.1155515876,0.1,5.0
mAP@0.75,Poisson-Gaussian,2,0.1141438492,0.1,5.0
mAP@0.75,Poisson-Gaussian,3,0.1136290882,0.1,5.0
mAP@0.75,Poisson-Gaussian,4,0.1141558556,0.1,5.0
mAP@0.75,Poisson-Gaussian,0,0.0293164719,0.1,10.0
mAP@0.75,Poisson-Gaussian,1,0.0279912678,0.1,10.0
mAP@0.75,Poisson-Gaussian,2,0.029383792,0.1,10.0
mAP@0.75,Poisson-Gaussian,3,0.0283891879,0.1,10.0
mAP@0.75,Poisson-Gaussian,4,0.0287058537,0.1,10.0
mAP@0.75,Poisson-Gaussian,0,0.0117819435,0.1,15.0
mAP@0.75,Poisson-Gaussian,1,0.014055866,0.1,15.0
mAP@0.75,Poisson-Gaussian,2,0.0123451118,0.1,15.0
mAP@0.75,Poisson-Gaussian,3,0.0154996194,0.1,15.0
mAP@0.75,Poisson-Gaussian,4,0.0135297118,0.1,15.0
mAP@0.75,Poisson-Gaussian,0,0.0068706388,0.1,22.5
mAP@0.75,Poisson-Gaussian,1,0.0060626174,0.1,22.5
mAP@0.75,Poisson-Gaussian,2,0.0073037482,0.1,22.5
mAP@0.75,Poisson-Gaussian,3,0.005572385,0.1,22.5
mAP@0.75,Poisson-Gaussian,4,0.0049446096,0.1,22.5
mAP@0.5:0.95,Poisson-Gaussian,0,0.3661386106,0.8,2.5
mAP@0.5:0.95,Poisson-Gaussian,1,0.366851827,0.8,2.5
mAP@0.5:0.95,Poisson-Gaussian,2,0.3664409973,0.8,2.5
mAP@0.5:0.95,Poisson-Gaussian,3,0.3676156561,0.8,2.5
mAP@0.5:0.95,Poisson-Gaussian,4,0.3652781396,0.8,2.5
mAP@0.5:0.95,Poisson-Gaussian,0,0.3598011851,0.8,5.0
mAP@0.5:0.95,Poisson-Gaussian,1,0.3610909984,0.8,5.0
mAP@0.5:0.95,Poisson-Gaussian,2,0.3606441066,0.8,5.0
mAP@0.5:0.95,Poisson-Gaussian,3,0.3610218929,0.8,5.0
mAP@0.5:0.95,Poisson-Gaussian,4,0.3610601993,0.8,5.0
mAP@0.5:0.95,Poisson-Gaussian,0,0.3375502032,0.8,10.0
mAP@0.5:0.95,Poisson-Gaussian,1,0.3385606013,0.8,10.0
mAP@0.5:0.95,Poisson-Gaussian,2,0.3388146182,0.8,10.0
mAP@0.5:0.95,Poisson-Gaussian,3,0.3383732443,0.8,10.0
mAP@0.5:0.95,Poisson-Gaussian,4,0.3385491717,0.8,10.0
mAP@0.5:0.95,Poisson-Gaussian,0,0.3117996792,0.8,15.0
mAP@0.5:0.95,Poisson-Gaussian,1,0.3099317807,0.8,15.0
mAP@0.5:0.95,Poisson-Gaussian,2,0.3104323909,0.8,15.0
mAP@0.5:0.95,Poisson-Gaussian,3,0.3090938089,0.8,15.0
mAP@0.5:0.95,Poisson-Gaussian,4,0.3109134576,0.8,15.0
mAP@0.5:0.95,Poisson-Gaussian,0,0.2589933311,0.8,22.5
mAP@0.5:0.95,Poisson-Gaussian,1,0.2565786828,0.8,22.5
mAP@0.5:0.95,Poisson-Gaussian,2,0.2590969673,0.8,22.5
mAP@0.5:0.95,Poisson-Gaussian,3,0.25758112,0.8,22.5
mAP@0.5:0.95,Poisson-Gaussian,4,0.2584749604,0.8,22.5
mAP@0.5:0.95,Poisson-Gaussian,0,0.3570401577,0.6,2.5
mAP@0.5:0.95,Poisson-Gaussian,1,0.3592114438,0.6,2.5
mAP@0.5:0.95,Poisson-Gaussian,2,0.3573919737,0.6,2.5
mAP@0.5:0.95,Poisson-Gaussian,3,0.3573438657,0.6,2.5
mAP@0.5:0.95,Poisson-Gaussian,4,0.358139961,0.6,2.5
mAP@0.5:0.95,Poisson-Gaussian,0,0.3489113693,0.6,5.0
mAP@0.5:0.95,Poisson-Gaussian,1,0.3483145335,0.6,5.0
mAP@0.5:0.95,Poisson-Gaussian,2,0.3471426417,0.6,5.0
mAP@0.5:0.95,Poisson-Gaussian,3,0.3487128259,0.6,5.0
mAP@0.5:0.95,Poisson-Gaussian,4,0.3486891014,0.6,5.0
mAP@0.5:0.95,Poisson-Gaussian,0,0.317408474,0.6,10.0
mAP@0.5:0.95,Poisson-Gaussian,1,0.318243571,0.6,10.0
mAP@0.5:0.95,Poisson-Gaussian,2,0.3170463125,0.6,10.0
mAP@0.5:0.95,Poisson-Gaussian,3,0.316590933,0.6,10.0
mAP@0.5:0.95,Poisson-Gaussian,4,0.316848,0.6,10.0
mAP@0.5:0.95,Poisson-Gaussian,0,0.2746171522,0.6,15.0
mAP@0.5:0.95,Poisson-Gaussian,1,0.2768519385,0.6,15.0
mAP@0.5:0.95,Poisson-Gaussian,2,0.2762723331,0.6,15.0
mAP@0.5:0.95,Poisson-Gaussian,3,0.2763750834,0.6,15.0
mAP@0.5:0.95,Poisson-Gaussian,4,0.2760525815,0.6,15.0
mAP@0.5:0.95,Poisson-Gaussian,0,0.2053397935,0.6,22.5
mAP@0.5:0.95,Poisson-Gaussian,1,0.2058443093,0.6,22.5
mAP@0.5:0.95,Poisson-Gaussian,2,0.2063479917,0.6,22.5
mAP@0.5:0.95,Poisson-Gaussian,3,0.2058737934,0.6,22.5
mAP@0.5:0.95,Poisson-Gaussian,4,0.2042537277,0.6,22.5
mAP@0.5:0.95,Poisson-Gaussian,0,0.3407396123,0.4,2.5
mAP@0.5:0.95,Poisson-Gaussian,1,0.3415237373,0.4,2.5
mAP@0.5:0.95,Poisson-Gaussian,2,0.3402503429,0.4,2.5
mAP@0.5:0.95,Poisson-Gaussian,3,0.340899037,0.4,2.5
mAP@0.5:0.95,Poisson-Gaussian,4,0.3403994331,0.4,2.5
mAP@0.5:0.95,Poisson-Gaussian,0,0.3242871397,0.4,5.0
mAP@0.5:0.95,Poisson-Gaussian,1,0.3237893614,0.4,5.0
mAP@0.5:0.95,Poisson-Gaussian,2,0.3240300909,0.4,5.0
mAP@0.5:0.95,Poisson-Gaussian,3,0.3237733699,0.4,5.0
mAP@0.5:0.95,Poisson-Gaussian,4,0.3250907339,0.4,5.0
mAP@0.5:0.95,Poisson-Gaussian,0,0.2698728664,0.4,10.0
mAP@0.5:0.95,Poisson-Gaussian,1,0.2698509053,0.4,10.0
mAP@0.5:0.95,Poisson-Gaussian,2,0.2716816454,0.4,10.0
mAP@0.5:0.95,Poisson-Gaussian,3,0.2714046741,0.4,10.0
mAP@0.5:0.95,Poisson-Gaussian,4,0.2722563741,0.4,10.0
mAP@0.5:0.95,Poisson-Gaussian,0,0.2054291207,0.4,15.0
mAP@0.5:0.95,Poisson-Gaussian,1,0.205902915,0.4,15.0
mAP@0.5:0.95,Poisson-Gaussian,2,0.2072363854,0.4,15.0
mAP@0.5:0.95,Poisson-Gaussian,3,0.2057268399,0.4,15.0
mAP@0.5:0.95,Poisson-Gaussian,4,0.2059113225,0.4,15.0
mAP@0.5:0.95,Poisson-Gaussian,0,0.1170217916,0.4,22.5
mAP@0.5:0.95,Poisson-Gaussian,1,0.1165001659,0.4,22.5
mAP@0.5:0.95,Poisson-Gaussian,2,0.1172499038,0.4,22.5
mAP@0.5:0.95,Poisson-Gaussian,3,0.1180121165,0.4,22.5
mAP@0.5:0.95,Poisson-Gaussian,4,0.1176893282,0.4,22.5
mAP@0.5:0.95,Poisson-Gaussian,0,0.2898080387,0.2,2.5
mAP@0.5:0.95,Poisson-Gaussian,1,0.2902829875,0.2,2.5
mAP@0.5:0.95,Poisson-Gaussian,2,0.2900947568,0.2,2.5
mAP@0.5:0.95,Poisson-Gaussian,3,0.288728254,0.2,2.5
mAP@0.5:0.95,Poisson-Gaussian,4,0.2889518813,0.2,2.5
mAP@0.5:0.95,Poisson-Gaussian,0,0.2475247961,0.2,5.0
mAP@0.5:0.95,Poisson-Gaussian,1,0.2475913833,0.2,5.0
mAP@0.5:0.95,Poisson-Gaussian,2,0.247381791,0.2,5.0
mAP@0.5:0.95,Poisson-Gaussian,3,0.2490618024,0.2,5.0
mAP@0.5:0.95,Poisson-Gaussian,4,0.2486926564,0.2,5.0
mAP@0.5:0.95,Poisson-Gaussian,0,0.1423828733,0.2,10.0
mAP@0.5:0.95,Poisson-Gaussian,1,0.1432269716,0.2,10.0
mAP@0.5:0.95,Poisson-Gaussian,2,0.1446546943,0.2,10.0
mAP@0.5:0.95,Poisson-Gaussian,3,0.143787879,0.2,10.0
mAP@0.5:0.95,Poisson-Gaussian,4,0.1440164138,0.2,10.0
mAP@0.5:0.95,Poisson-Gaussian,0,0.0655959529,0.2,15.0
mAP@0.5:0.95,Poisson-Gaussian,1,0.0659302526,0.2,15.0
mAP@0.5:0.95,Poisson-Gaussian,2,0.0656354928,0.2,15.0
mAP@0.5:0.95,Poisson-Gaussian,3,0.0652561314,0.2,15.0
mAP@0.5:0.95,Poisson-Gaussian,4,0.0637585162,0.2,15.0
mAP@0.5:0.95,Poisson-Gaussian,0,0.0207223042,0.2,22.5
mAP@0.5:0.95,Poisson-Gaussian,1,0.0206769309,0.2,22.5
mAP@0.5:0.95,Poisson-Gaussian,2,0.0210558455,0.2,22.5
mAP@0.5:0.95,Poisson-Gaussian,3,0.0204977983,0.2,22.5
mAP@0.5:0.95,Poisson-Gaussian,4,0.0209210773,0.2,22.5
mAP@0.5:0.95,Poisson-Gaussian,0,0.1787716667,0.1,2.5
mAP@0.5:0.95,Poisson-Gaussian,1,0.1800124983,0.1,2.5
mAP@0.5:0.95,Poisson-Gaussian,2,0.1810111636,0.1,2.5
mAP@0.5:0.95,Poisson-Gaussian,3,0.1807230642,0.1,2.5
mAP@0.5:0.95,Poisson-Gaussian,4,0.1800778437,0.1,2.5
mAP@0.5:0.95,Poisson-Gaussian,0,0.111213712,0.1,5.0
mAP@0.5:0.95,Poisson-Gaussian,1,0.1113777207,0.1,5.0
mAP@0.5:0.95,Poisson-Gaussian,2,0.1099728379,0.1,5.0
mAP@0.5:0.95,Poisson-Gaussian,3,0.1096148568,0.1,5.0
mAP@0.5:0.95,Poisson-Gaussian,4,0.110935423,0.1,5.0
mAP@0.5:0.95,Poisson-Gaussian,0,0.0288477427,0.1,10.0
mAP@0.5:0.95,Poisson-Gaussian,1,0.0281888445,0.1,10.0
mAP@0.5:0.95,Poisson-Gaussian,2,0.0289413408,0.1,10.0
mAP@0.5:0.95,Poisson-Gaussian,3,0.027765204,0.1,10.0
mAP@0.5:0.95,Poisson-Gaussian,4,0.0284616624,0.1,10.0
mAP@0.5:0.95,Poisson-Gaussian,0,0.0120403685,0.1,15.0
mAP@0.5:0.95,Poisson-Gaussian,1,0.0127926905,0.1,15.0
mAP@0.5:0.95,Poisson-Gaussian,2,0.0111305164,0.1,15.0
mAP@0.5:0.95,Poisson-Gaussian,3,0.013560741,0.1,15.0
mAP@0.5:0.95,Poisson-Gaussian,4,0.0126621648,0.1,15.0
mAP@0.5:0.95,Poisson-Gaussian,0,0.006518086,0.1,22.5
mAP@0.5:0.95,Poisson-Gaussian,1,0.005687393,0.1,22.5
mAP@0.5:0.95,Poisson-Gaussian,2,0.0070350437,0.1,22.5
mAP@0.5:0.95,Poisson-Gaussian,3,0.0052051598,0.1,22.5
mAP@0.5:0.95,Poisson-Gaussian,4,0.0047603893,0.1,22.5
